date,headline,source_domain,url,language,social_image,raw_seendate
2024-02-13,Sun Pharma included in S & P Global Sustainability Yearbook 2024,financialexpress.com,https://www.financialexpress.com/business/sustainability-sun-pharma-included-in-sp-global-sustainability-yearbook-2024-3392220/,English,https://www.financialexpress.com/wp-content/uploads/2023/11/Untitled-design-9.png,20240213T024500Z
2024-02-13,Hawks arrest nine in discovery of drug lab,enca.com,https://www.enca.com/news/hawks-arrest-nine-discovery-drug-lab,English,https://www.enca.com/sites/default/files/2024-02/Krugersdorp%20drug%20super%20lab.png,20240213T050000Z
2024-02-13,В Нижегородской области заведующего онкоцентром судят за подмену препаратов,kommersant.ru,https://www.kommersant.ru/doc/6509424,Russian,https://iv.kommersant.ru/SocialPics/6509424_49_2509870_342097256,20240213T183000Z
2024-02-13,Indices : Stock market update : Nifty Pharma index advances 0 . 28 % in an upbeat market,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-pharma-index-advances-0-28-in-an-upbeat-market/articleshow/107647809.cms,English,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",20240213T053000Z
2024-02-13,美媒 ： 美面临十年来最严重药物短缺 _ 美国 _ 药品 _ 治疗,sohu.com,https://www.sohu.com/a/757675235_114911?edtsign=EEE0AFAD88205EA6076FD1AEDE9531A6CA8B43A8&edtcode=hQGWPJNdXWngTU0gYUMqNg==&scm=thor.282_14-200000.0.0.10006_&code=tytsuv89m6p,Chinese,,20240213T073000Z
2024-02-13,美媒 ： 美面临十年来最严重药物短缺 _ 美国 _ 药品 _ 治疗,sohu.com,https://www.sohu.com/a/757675235_114911?edtsign=EEE0AFAD88205EA6076FD1AEDE9531A6CA8B43A8&edtcode=hQGWPJNdXWngTU0gYUMqNg==&scm=thor.282_14-200000.0.0.10006_&code=0sdft2vj8k7,Chinese,,20240213T074500Z
2024-02-13,US lawmakers call for sanctions on China WuXi AppTec biotech firm,dealstreetasia.com,https://www.dealstreetasia.com/stories/us-lawmakers-sanctions-wuxi-apptec-383132,English,"https://media.dealstreetasia.com/uploads/2024/02/2024-02-12T202848Z_2_LYNXNPEK1B0KW_RTROPTP_4_CHINA-USA-WUXI-APPTEC-BIOTECH-scaled.jpg?fit=2560,1707",20240213T050000Z
2024-02-13," . Gilead Sciences покупает фармкомпанию CymaBay за $4 , 3 млрд",interfax.az,https://interfax.az/view/909542,Russian,https://interfax.az/upload/Gilead.jpg,20240213T024500Z
2024-02-13,Cholera kills 454 in Zimbabwe,bulawayo24.com,https://bulawayo24.com/index-id-news-sc-national-byo-240135.html,English,https://img.bulawayo24.com/articles/bulawayo24.png,20240213T074500Z
2024-02-13,Cholera kills 454 in Zimbabwe,bulawayo24.com,https://bulawayo24.com/news/national/240135,English,https://img.bulawayo24.com/articles/bulawayo24.png,20240213T074500Z
2024-02-13,US lawmakers call for sanctions on China WuXi,taipeitimes.com,https://www.taipeitimes.com/News/biz/archives/2024/02/14/2003813504,English,https://www.taipeitimes.com/images/2024/02/14/P06-240214-334.jpg,20240213T201500Z
2024-02-13,"Aparna Group forays into pharma business vertical , gets USFDA clearance for manufacturing unit",financialexpress.com,https://www.financialexpress.com/healthcare/pharma-healthcare/aparna-group-forays-into-pharma-business-vertical-gets-usfda-clearance-for-manufacturing-unit/3392225/,English,https://www.financialexpress.com/wp-content/uploads/2024/02/medicine-1582472_1280.jpg,20240213T024500Z
2024-02-13,美媒 ： 美面临十年来最严重药物短缺 _ 美国 _ 药品 _ 治疗,sohu.com,https://www.sohu.com/a/757675235_114911?edtsign=EEE0AFAD88205EA6076FD1AEDE9531A6CA8B43A8&edtcode=hQGWPJNdXWngTU0gYUMqNg==&scm=thor.282_14-200000.0.0.10006_&code=e8nv2g4zen8,Chinese,,20240213T094500Z
2024-02-12,The U . S . Should Focus on Targeted and Temporary Tools to Ensure Access to Medical Supply Chains,heritage.org,https://www.heritage.org/homeland-security/report/the-us-should-focus-targeted-and-temporary-tools-ensure-access-medical,English,https://www.heritage.org/themes/heritage/src/images/bell.png,20240212T191500Z
