date,headline,source_domain,url,language,social_image,raw_seendate,category,urgency_score,companies_mentioned,countries_mentioned
2024-04-19,"Fake Ozempic sites , Zepbound shortage , J & J sales miss : Pharma news",qz.com,https://qz.com/fake-ozempic-weight-loss-drugs-zepbound-shortage-1851420244,English,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/103f7b5dc7ecec7ab887278739602d55.jpg",20240419T111500Z,Drug Shortage,3,None,Global
2024-04-19,Popular weight loss drugs in tight supply as Zepbound shortage could last through June,abcnews.go.com,https://abcnews.go.com/Health/popular-weight-loss-drugs-tight-supply-zepbound-shortage/story?id=109432179,English,https://i.abcnewsfe.com/a/fc4503f4-e3e4-437f-b247-80cd6918a28c/zepbound-rt-jef-240419_1713534551234_hpMain_2_16x9.jpg,20240419T230000Z,Drug Shortage,3,None,Global
2024-04-19,WHO prequalifies new oral vaccine for cholera ; Here what you need to know - Pharma News,financialexpress.com,https://www.financialexpress.com/healthcare/pharma-healthcare/who-prequalifies-new-oral-vaccine-for-cholera-heres-what-you-need-to-know/3462417/,English,https://www.financialexpress.com/wp-content/uploads/2023/12/105681190.jpg,20240419T131500Z,Vaccines,1,None,Global
2024-04-18,PepsiCo is recalling sugar - free Schweppes Ginger Ale after internal investigation,lehighvalleylive.com,https://www.lehighvalleylive.com/business/2024/04/pepsico-is-recalling-sugar-free-schweppes-ginger-ale-after-internal-investigation.html,English,https://www.lehighvalleylive.com/resizer/v2/2V6CADRFUZCX3ENT7EVQAMOGYE.png?auth=f1abab75b724038caec6e951e44e475eaf973149f63f232d4e1a83def16c7b75&quality=90,20240418T130000Z,Product Recall/Quality,3,None,Global
2024-04-18,Drug shortage reported across United States,kagstv.com,https://www.kagstv.com/article/news/local/texas/american-drug-shortage/285-7b8bf9cc-58e6-4aaf-92ec-dbc6f4e771b2,English,https://media.kagstv.com/assets/KHOU/images/d605f88a-532f-440a-9e93-29bbc75bb434/d605f88a-532f-440a-9e93-29bbc75bb434_1140x641.jpg,20240418T214500Z,Drug Shortage,3,None,United States
2024-04-18,Drug regulator CDSCO introduces guidelines to curb circulation of substandard pharmaceuticals,financialexpress.com,https://www.financialexpress.com/healthcare/drug-regulator-cdsco-introduces-guidelines-to-curb-circulation-of-substandard-pharmaceuticals/3461476/,English,https://www.financialexpress.com/wp-content/uploads/2024/04/Tablets-1.jpg,20240418T193000Z,Regulatory,1,None,Global
2024-04-18,"Zepbound shortage : Weight loss drug limited availability to continue , Eli Lilly says",yahoo.com,https://www.yahoo.com/news/zepbound-shortage-weight-loss-drugs-204336719.html,English,https://media.zenfs.com/en/wjzy_articles_340/b5407b013e6920e8f8ea0c773fbe57ef,20240418T231500Z,Drug Shortage,3,None,Global
2024-04-18,Weight - Loss Drug Suffers Supply Shortage,newsweek.com,https://www.newsweek.com/zepbound-weight-loss-drug-shortage-caused-demand-surge-1891725,English,https://d.newsweek.com/en/full/2380142/wegovy-injectable-prescription-weight-loss-drug.jpg,20240418T141500Z,Drug Shortage,3,None,Global
2024-04-18,Pharmacists warn about nationwide drug shortage impacting patients,atlantanewsfirst.com,https://www.atlantanewsfirst.com/2024/04/17/pharmacists-warn-about-nationwide-drug-shortage-impacting-patients/,English,https://gray-wgcl-prod.cdn.arcpublishing.com/resizer/v2/JNIJUFRXPBGIBPJINZWMS7K5KQ.PNG?auth=92cc573bbda89d1a32f582f47d663accc7439df37b5bfaba7198eb3a43dd0fd0&smart=true,20240418T021500Z,Drug Shortage,4,None,Global
2024-04-18,Congo - Kinshasa : Hospitals in Eastern DRC Face Vaccine Shortages,allafrica.com,https://allafrica.com/stories/202404180012.html,English,,20240418T051500Z,Drug Shortage,4,None,Global
2024-04-17,Persistent shortage of growth hormone frustrates parents and clinicians,knpr.org,https://knpr.org/npr/2024-04-17/persistent-shortage-of-growth-hormone-frustrates-parents-and-clinicians,English,https://media.npr.org/assets/img/2024/04/16/20240331_bbennett-npr007_sq-e1716a2be0ed5144b51692b6e38acfe1c4afb8fa.jpg,20240417T173000Z,Drug Shortage,3,None,Global
2024-04-17,Prior authorizations make growth hormone shortage worse : Shots,npr.org,https://www.npr.org/sections/health-shots/2024/04/17/1245154523/norditropin-growth-hormone-shortage,English,https://media.npr.org/assets/img/2024/04/16/20240331_bbennett-npr018_wide-cf7b0c9f8814994ed864d40a3dbc1a6b8ac42ed5-s1400-c100.jpg,20240417T150000Z,Drug Shortage,3,None,Global
2024-04-17,"Zero sugar ginger ale recalled for being full - sugar product , FDA site says",yahoo.com,https://www.yahoo.com/news/zero-sugar-ginger-ale-recalled-142926673.html,English,https://media.zenfs.com/en/wjzy_articles_340/8e632026797237f9f09fbfb113098a62,20240417T171500Z,Product Recall/Quality,3,None,Global
2024-04-16,"Healthy Returns : U . S . drug shortages reach record high , hitting Wegovy , ADHD medications",nbcdfw.com,https://www.nbcdfw.com/news/business/money-report/healthy-returns-u-s-drug-shortages-reach-record-high-hitting-wegovy-adhd-medications/3516416/,English,https://media.nbcdfw.com/2024/04/101757354-94626683_1.jpg?quality=85&strip=all,20240416T164500Z,Drug Shortage,3,None,Global
2024-04-16,US Medical Drug Shortages Reach Record High,empr.com,https://www.empr.com/home/news/us-medical-drug-shortages-reach-record-high/,English,https://www.empr.com/wp-content/uploads/sites/7/2024/01/MPR_1200x675.png,20240416T204500Z,Drug Shortage,3,None,Global
2024-04-16,Centre needs to solve TB drug shortage soon,newindianexpress.com,https://www.newindianexpress.com/editorials/2024/Apr/16/centre-needs-to-solve-tb-drug-shortage-soon,English,https://media.assettype.com/TNIE%2Fimport%2F2018%2F3%2F28%2Foriginal%2FTuberculosis4_AP.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,20240416T210000Z,Drug Shortage,3,None,Global
2024-04-15,"Another regulatory blow for Sun Pharma after Dadra unit tagged OAI by US FDA , stock down",moneycontrol.com,https://www.moneycontrol.com/news/business/markets/another-regulatory-blow-for-sun-pharma-after-dadra-unit-tagged-oai-by-us-fda-stock-down-12638701.html,English,https://images.moneycontrol.com/static-mcnews/2024/03/Sun-770x433.jpg,20240415T050000Z,Regulatory,1,Sun Pharma,Global
2024-04-15,U . S . pharmacy database shows record - high shortages of medical drugs,upi.com,https://www.upi.com/Health_News/2024/04/15/pharmacy-database-shortage-medical-drugs/9391713194175/,English,https://cdnph.upi.com/sv/ph/og/i/9391713194175/2024/1/17131966281942/v1.5/US-pharmacy-database-shows-record-high-shortages-of-medical-drugs.jpg,20240415T171500Z,Drug Shortage,3,None,Global
2024-04-14,"Latest News | Glenmark Recalls 6 , 528 Bottles of Blood Pressure Drug in US",latestly.com,https://www.latestly.com/agency-news/latest-news-glenmark-recalls-6528-bottles-of-blood-pressure-drug-in-us-5892458.html,English,https://st1.latestly.com/wp-content/uploads/2018/03/default-img-01-781x441.jpg,20240414T063000Z,Product Recall/Quality,3,None,Global
2024-04-14,"U . S . Drug shortages hit record high , pharmacists warn",freerepublic.com,https://freerepublic.com/focus/f-news/4231058/posts,English,,20240414T050000Z,Drug Shortage,3,None,Global
2024-04-14,Glenmark recalls blood pressure drug over dissolution specifications in US,businesstoday.in,https://www.businesstoday.in/latest/corporate/story/glenmark-recalls-6528-bottles-of-blood-pressure-drug-in-us-425445-2024-04-14,English,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202404/661b6eeaf1fe6-the-affected-lot-has-been-produced-in-india-and-is-being-recalled-by-new-jersey-based-glenmark-pharm-145137434-16x9.jpg,20240414T061500Z,Product Recall/Quality,3,None,Global
